Price,SquareFootage,Bedrooms,Bathrooms,Location,PropertyType,PricePerSqFt
715127.6283436569,85427.36751222197,48488.28172944747,-84632.66549908735,Perth,House,8.273526056525405
630571.4441049495,108748.2116175032,-53581.3445114048,80808.77982811451,Sydney,Apartment,5.576699798325055
1950569.0035352432,163435.6899089109,-73278.29955239894,181809.19225578246,Brisbane,House,12.3610264120905
1271600.9653014066,130527.80373160637,58636.580039278335,-41237.381821648036,Brisbane,House,9.332159428513792
2941972.9798469655,51626.74331133561,9737.75493480404,96865.49905328892,Adelaide,House,57.08328262837029
2158187.791189197,-46399.53792281979,64072.97952008238,-19047.310599781133,Sydney,House,-45.25168019023118
2073363.2208909998,72363.53625455816,-91602.4100563725,135547.2801105496,Singapore,Apartment,28.856256354675118
14848000.764586577,123981.16200069386,-15549.817793666753,-54824.72964906009,Sydney,Apartment,120.08556232052261
1878558.1212280397,198977.5999230808,91161.27221747217,10578.379127148042,Melbourne,Apartment,9.363709768521522
550098.9380160341,-22326.540189268355,-116996.30260593595,-180195.04375800196,Brisbane,House,-25.23060561032308
749024.1959686604,-48641.140814570266,215745.82132655036,-60568.49230033384,Adelaide,Apartment,-15.78483921791443
3110511.7688100124,7631.796718840389,-128966.08997410539,-129506.8772063616,Adelaide,Apartment,403.8782965467315
14992788.198834201,145646.75344707453,32714.476460232007,30051.435961082836,Brisbane,House,102.67771031732586
14924657.55434901,20131.570740559608,-61725.189543435015,-31603.285602704975,Perth,Apartment,745.538733788784
2987858.669669978,-105621.35218889515,-6237.909727317187,95515.23205012383,Perth,Apartment,-27.916829761779386
2759355.7125638844,18945.431476942766,-66148.6464768388,85244.3334796224,Adelaide,House,147.660175738878
2982339.638500978,47659.24306351816,-91912.42342338034,154994.440501754,Sydney,Apartment,60.71790995024197
2131430.557188105,194371.7436463749,-87807.30771797389,-37797.78990182172,Melbourne,House,10.631903812772736
2922280.042838861,128067.68218985091,33261.40119795917,-74847.65365565536,Adelaide,House,22.227220281121195
,32409.32113392386,175518.30716472416,1843.163078343813,Adelaide,House,57.03769484844237
790125.0905884785,2277.1576736061647,30898.30125989638,170224.4944635238,Perth,House,361.7792112913851
1264155.7286557436,-84853.52787470439,248538.99166788915,26481.531097797964,Melbourne,House,-14.85276452330738
775205.4292154138,-102617.51409259581,126585.78408647004,-86614.48482145007,Sydney,House,-6.9772265049578
2024202.7933718152,34052.34811017082,-120677.16478572156,-107528.23930492379,Singapore,Apartment,62.48310782343126
1037950.9995713852,-6375.0261072987805,-55499.95266931983,188117.706944059,Brisbane,House,-165.73303154222145
2123288.1956951865,,53225.61988219431,36169.106124701655,Perth,House,19.83400440009083
1101374.9855706394,138209.13541474516,-62536.27015095294,39582.353343740906,Singapore,Apartment,7.580208296859212
691477.8286187277,-143677.79783173668,91937.89345752035,-66811.4085538994,Singapore,House,-4.950848716980077
1405906.7684534078,-44622.46163001495,-69205.03292658963,-196888.3142416083,Brisbane,Apartment,-29.699936198753015
1093327.6865487366,-65062.397930239116,-44598.34332147797,-188952.0730945531,Perth,Apartment,-15.124932160569935
2901311.219875116,-71684.42083947087,-46033.87709597875,105713.22262189157,Brisbane,House,-39.78755450016565
836101.8096686326,120986.62305931424,102421.25258114624,59255.69492011831,Singapore,House,7.489673938741108
14989446.268615952,112503.06673244714,60.70649181973595,-926.0321138626349,Sydney,Apartment,132.59867877414342
1299679.739535262,,100202.48536819372,-49753.08383852072,Adelaide,House,-22.98824420193328
1107191.222322512,-190600.21371233076,-39285.2757061401,100167.182520856,Adelaide,House,-5.876205107619711
960271.1281167658,244175.2406339273,138447.2818510518,56392.91200523596,Singapore,House,4.104662866713702
1951113.522178887,-78125.35211244284,173518.65758368085,-85674.20938267927,Adelaide,Apartment,-25.230543954226736
1254294.9886451554,-133077.73974796498,-34923.9327216956,-77252.8748756241,Singapore,Apartment,-9.956214259273795
578923.7628484017,11005.970577652315,-3307.99906444608,-20808.68572725397,Sydney,House,53.209971363820785
721337.7573263226,9108.068125524882,-19718.84203073261,-15124.32836535117,Adelaide,House,82.95507194142812
1927314.0350708456,-67449.51384585313,,83022.18118626102,Singapore,House,-28.239912392537246
886821.7700582976,53169.27543567308,-7029.877805909122,48652.16438262019,Singapore,House,17.03361546811806
1022567.0884031828,-53323.5211560568,131759.40656343257,19761.960469239966,Brisbane,Apartment,-18.84637866638304
3023135.399415357,63134.55092642799,-1194.6772846914623,-89724.43714858315,Adelaide,Apartment,48.506118072715964
1905613.7384899645,191391.90871397234,-128020.55710024667,18950.982122108064,Sydney,Apartment,9.890254874674158
15139189.347151406,97218.46605328612,-33090.83831833227,-61219.67345077503,Adelaide,Apartment,154.87861422817627
1399983.760438124,189928.86947731115,15689.37282465246,102357.06441853447,Adelaide,House,7.210974779927784
674168.5137787653,-84174.65953161914,217109.2717497814,-17585.58124323366,Melbourne,House,-8.02371824186948
15069080.15289352,89165.5425873836,-32026.762555719168,179525.13559123222,Sydney,House,168.8258729553004
1165403.0508380004,21409.335307417554,,-101583.88269899784,Singapore,Apartment,55.282728885160594
852801.3659455243,195984.74542205938,-122939.95944524168,49672.92232365217,Melbourne,House,4.133464376297705
2909673.625863134,-11173.644146689901,50528.72789804571,86576.51941701215,Melbourne,Apartment,-261.39618264306165
15159334.841044107,127887.50412787222,65192.19913395057,-113764.56704248166,Brisbane,Apartment,117.99203309653154
2994962.8163348795,-95254.04406004258,-160614.63202575725,20347.36358672231,Brisbane,House,-31.36043482803693
1245817.1203913528,-105860.50663966009,-71681.61491279362,-128454.42656999693,Melbourne,Apartment,-11.385037605688321
617393.9057603144,7835.188295876821,-22470.598180807854,-64997.25808234597,Singapore,Apartment,87.66532179606065
720022.1762616893,19199.96797790666,70960.18171390395,-43545.637056984335,Perth,Apartment,38.187461244757806
14971826.11119297,28137.693795819207,136105.8595838651,-130878.03991191121,Adelaide,House,533.3057276092852
1945921.158212921,22304.142701386685,121820.91523055584,-51316.636451339604,Adelaide,Apartment,84.71581920861158
1931974.144611939,20688.90316029768,-120189.95260760888,-39565.071175626385,Perth,Apartment,93.98493999347116
803182.5536615826,-219680.59566200819,44021.44500533324,-50203.42243526111,Sydney,House,-3.437711954861476
1837084.0820264823,-38602.077518300925,,44924.872128503426,Perth,House,-46.967053241394005
14976164.508530939,3815.24174880246,-108684.59388628024,-108578.51288851854,Singapore,Apartment,3913.888077150256
2717732.549519117,-79389.52554704768,57737.212718054005,-20303.53860429927,Sydney,Apartment,-34.67504725615082
995760.6475474237,106594.09875608562,25276.88459966235,138457.20475939062,Melbourne,House,9.591514319518456
3071750.4886262193,219345.56258099785,-99023.63251306883,-56628.772960277194,Brisbane,House,13.944598073419172
1297999.804803171,149111.31083282895,227164.9745422796,-40435.74231839613,Adelaide,Apartment,8.386747572661399
825532.7890817773,1757.9047581467535,-109607.50868952018,-144003.08825942944,Melbourne,House,502.12778222534627
3016291.537318632,-50047.56541161992,-155036.34310661326,6857.297480602732,Melbourne,House,-60.142089065733416
3086639.0259200684,-85828.42013282637,152342.40772696573,53892.00436846587,Sydney,Apartment,-35.04360008153532
3244622.7416136093,-50821.56764311853,-98930.48202585809,-12577.692009964814,Brisbane,Apartment,-62.16491952490423
1832439.0545941475,27255.73583914221,-191200.49754197767,-6860.404608546861,Melbourne,Apartment,66.69934287132284
1209194.6205663674,-142097.4925261673,-96992.42603796437,-39751.77654917214,Singapore,House,-9.174044819014421
957555.5201151082,43204.164719106964,103048.34540318421,23880.91590265135,Sydney,House,21.71534969655925
